draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,eta.1,eta.2,eta.3,eta.4,eta.5,eta.6,eta.7,eta.8,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8
0,-39.543857008236856,0.9811491379576204,0.45611429717578444,3.0,7.0,0.0,43.90191686929249,1.6316853950019017,10.814232623776565,0.06569064417190984,0.3873251498940939,-0.7022519633388774,-0.8809401572552791,-1.7508979061518917,0.20138540434084828,0.7522496198050427,-0.21515162533503648,2.342079302282667,5.82030966699576,-5.962630697048531,-7.895006393182995,-17.302931862607963,3.809514004577138,9.766687774721113,-0.6950143307548025
1,-38.41339627003939,0.9715460952325231,0.37403654628219746,3.0,7.0,0.0,42.40354983557938,11.124495237172088,9.920061654909034,1.0755526602280518,0.8429864301067035,0.5132470392096935,-0.7512487689647277,-0.7771431735588425,0.8386379559943932,0.27064641935208794,1.1763799686155079,21.79404393973579,19.486972598082254,16.215937510331763,3.672061130867476,3.415187040776697,19.443835466783355,13.809324403825165,22.794257055437882
2,-43.07790871444403,0.7481047047333707,0.31894884500949744,3.0,15.0,0.0,47.43974918027773,13.817961844258678,0.524344499102844,-0.5521554532033047,-0.11625491507909175,-1.5910018477170802,-1.621613679387468,0.188599952434354,-1.1184542322166373,1.0722931374452267,-0.9644630181073939,13.528442169721886,13.757004219043287,12.983728777345766,12.967677631801935,13.91685319184869,13.23150652009759,14.380212852303812,13.312250966125939
3,-37.73695161055916,0.9960730864324197,0.3791438206322386,4.0,15.0,0.0,42.15198499071863,5.9786160932940735,5.649706585734613,1.064808355730821,1.0792120779713854,-1.0134876239098622,1.0718378510052942,-0.49041410503713956,-0.7764240002574575,-0.4481526582390415,0.3606357809646167,11.994470873211737,12.075847677613346,0.25270838993000044,12.03418545895832,3.2079202943286,1.5920483057171033,3.4466850686264876,8.016102440061413
4,-39.13258061488447,0.9031670199381703,0.45611429717578444,3.0,7.0,0.0,46.92776257370314,1.5521663750313777,11.159275598736029,1.1197865791893644,1.1599395478702719,-0.11083295882995725,-0.8969138695439259,-1.338435255202852,-0.4566497017026915,0.30207967685073095,-0.553535052203188,14.048173423971342,14.496251467589005,0.3153508420245208,-8.456742683538064,-13.383801508841838,-3.5437134983495535,4.923156741785805,-4.624883826064732
5,-39.93797921460678,0.9002009252719115,0.37403654628219746,4.0,15.0,0.0,44.804000682961856,12.179636882191346,6.2095928423534135,-0.32533382089172475,0.2589649827549698,-0.18293047790969208,-0.04640551637471535,1.1019062826882509,-0.3184201278562574,-0.07120743203722635,1.8627241541438784,10.159446316606605,13.787703985526782,11.043713095915033,11.8914775198652,19.022026248116568,10.202377535393872,11.737467721890619,23.74639545704199
6,-41.94329323030811,0.9768131755368596,0.31894884500949744,4.0,15.0,0.0,46.10295377606367,14.318173708135628,0.6468340460799669,-0.43085113407867864,-0.08752254340339474,-1.031158815999579,-1.4363413108829537,0.25264515397714105,-1.415445900759018,0.9999967966133507,-0.5202409007654383,14.039484525821374,14.261561147262801,13.651185079031592,13.389099246465404,14.481593195305159,13.402615109140369,14.965005682156047,13.981664181357234
7,-37.96530347983458,0.9885064134225658,0.3791438206322386,4.0,15.0,0.0,41.20823744604944,4.192866752863435,8.704474608270502,0.7669868804098221,1.7986362756622118,-0.4324728653706885,-0.05245470241164363,0.26739211618543385,-0.6624220516525582,-0.22247696400063008,-0.13479648745891137,10.869084578267335,19.849050543879383,0.4284176774782895,3.7362761276368976,6.52037463865126,-1.5731691757047086,2.25632166879484,3.019534150493288
8,-37.840470167268556,1.0,0.45611429717578444,3.0,7.0,0.0,42.297126973991276,3.338827864212808,7.385358409801359,1.5408174288523326,0.07368307741103697,-1.232008400973797,-0.9643545143936647,-0.006631162878107166,-0.4755225409045603,1.1822227240895962,-0.8238658834111141,14.71831682035589,3.8830037996304547,-5.759995740864948,-3.783275858694349,3.2898543496842167,-0.17307653230679731,12.069966401826179,-2.7457169663858894
9,-38.10101135862345,0.8799772630622132,0.37403654628219746,3.0,15.0,0.0,43.35034524093578,12.149239612339162,5.548522229328209,-1.346438412528972,-0.7117856303081542,-0.3590632547289726,0.6558711014316175,-0.7088807193362087,-0.537183234337827,-0.5711871925642491,0.3587760617998115,4.678496150000776,8.199881220057978,10.15696916174052,15.788354998206469,8.215999183160037,9.168666495393305,8.979994777288853,14.139916566586248
10,-37.25982207458535,0.9755071174131412,0.31894884500949744,4.0,15.0,0.0,44.055540123704844,-0.6237340414744699,13.755591944388957,0.9910507559834226,0.36922427877601843,0.08365606097906686,0.977523964497236,-0.312889134957024,1.0580704029392973,-0.04999673572807878,0.5190687210846023,13.008755754011684,4.455164473329752,0.5270045970284936,12.822686730010865,-4.927709305776138,13.930650669793707,-1.3114687367013738,6.516363476861164
11,-38.35708355370873,0.885138628872337,0.3791438206322386,3.0,7.0,0.0,43.25240922448391,8.782486236500283,2.2692907051126068,0.5809005213276691,0.6544373336743863,0.30853998133666266,0.8312986025927447,-1.8011077774889925,-0.13510568356427935,0.7292910564582711,-0.01769522847706413,10.10071839014423,10.267594794886245,9.48265314830319,10.668944428537097,4.695249098138487,8.475892164579978,10.43745965224279,8.742330618992437
12,-41.64127821511378,0.7933349995216208,0.45611429717578444,3.0,7.0,0.0,46.08517992270902,13.883888690501237,7.129196257139601,-0.9147706481823518,-0.7926127156049568,1.2940977628561259,-1.461058807243238,-1.2733739395296007,0.03104791958633557,1.1035628020654633,1.602846279851619,7.362309209338449,8.233197085049124,23.10976561782786,3.4677137104418954,4.8057559668677,14.105235402608113,21.75140448850483,25.31089438958953
13,-37.721159658137324,0.9897150962279724,0.37403654628219746,3.0,15.0,0.0,40.520072102776666,11.818544300381028,6.296008796681145,-0.6932223693632311,-0.9804475058170838,-0.6431438401781369,-0.3268329287666923,-1.5667843370486778,-0.9941916515406559,-0.5550373057129377,0.6006257389852807,7.454010164813979,5.64563817907258,7.769305025088186,9.760801305820872,1.9540563318203166,5.5591049166941024,8.324024541126171,15.600089236545468
14,-38.1599266305723,0.8911406915351756,0.31894884500949744,4.0,15.0,0.0,43.64738395658341,12.326549828118125,6.806659643576648,0.1148503093653923,0.258086457482231,0.24939868128792098,-0.6666505710943295,0.04154078595207003,-2.0684120670029658,1.0353546644479126,-0.10636240692364907,13.108296793927835,14.083256502816088,14.024121767201851,7.7888862894830275,12.609303819420536,-1.7524271146379196,19.373856639404572,11.602577125317246
15,-38.22619604044163,0.9776979388638362,0.3791438206322386,3.0,15.0,0.0,40.56222420742146,8.099916882490955,2.722738435734568,0.657253745170115,0.9559857804122888,0.5299687150815225,0.7589642614716655,-1.490248668163368,-0.2540296323978388,0.9808320690381451,-0.42215643419684773,9.889446916496121,10.702816110835201,9.54288307278028,10.16637804854876,4.042359554880304,7.408260638545836,10.770466055862174,6.950495333210547
16,-41.64127821511378,0.13164727623860242,0.45611429717578444,3.0,7.0,0.0,48.02926040420784,13.883888690501237,7.129196257139601,-0.9147706481823518,-0.7926127156049568,1.2940977628561259,-1.461058807243238,-1.2733739395296007,0.03104791958633557,1.1035628020654633,1.602846279851619,7.362309209338449,8.233197085049124,23.10976561782786,3.4677137104418954,4.8057559668677,14.105235402608113,21.75140448850483,25.31089438958953
17,-38.387601991805575,0.9773377057207772,0.37403654628219746,3.0,7.0,0.0,40.59136567760517,18.080731074513366,26.364922907159162,1.276538648805502,-0.0649760958267247,-0.28429661390469085,-0.3806372099621757,-0.4990545318321958,-0.45788951132036565,0.5836633102324488,-1.3281772236613927,51.73657413827955,16.367641317233584,10.5852727661498,8.045260378264448,4.923196816289117,6.008509408555144,33.4689692525292,-16.936559034363945
18,-36.483200314444005,0.9991543403048225,0.31894884500949744,4.0,15.0,0.0,40.30418405195688,6.963756436503295,14.11714349601089,0.23934891913417822,-0.28644931075441216,-1.527749105076005,0.06948239211905222,-0.870194950107704,0.5145711955756815,0.7739562873618255,-0.6169077627203281,10.342679473535595,2.919910412249843,-14.603696905756888,7.944649336494051,-5.320910543671199,14.228031843359075,17.889808404830024,-1.745218973622614
19,-37.00448906478586,0.9361967496598709,0.3791438206322386,3.0,7.0,0.0,42.65909878157228,3.2019703276654097,8.670689735752102,0.6419898908146745,-0.19942497409694948,0.30675019860567865,0.1300312098278814,-0.9707053495095337,-0.018880228958399664,-0.10344823339894582,-1.1212136143858862,8.768465484408821,1.472818251710361,5.861706126155586,4.329430604047449,-5.21471458276656,3.038265720227164,2.305002792151482,-6.519725050175809
